FIRST,LAST,Total Points,STATUS,Position,Movie1,Movie2,Movie3,Movie4
PICTURE,Sicario: Day of the Soldado,0,Free Agent,PICTURE,Sicario: Day of the Soldado,,,
PICTURE,Sick for Toys,0,Free Agent,PICTURE,Sick for Toys,,,
PICTURE,Sierra Burgess Is a Loser,0,Free Agent,PICTURE,Sierra Burgess Is a Loser,,,
PICTURE,Silencer,0,Free Agent,PICTURE,Silencer,,,
PICTURE,Skate Kitchen,0,Free Agent,PICTURE,Skate Kitchen,,,
PICTURE,Skin,0,Free Agent,PICTURE,Skin,,,
PICTURE,Skyscraper,0,Free Agent,PICTURE,Skyscraper,,,
PICTURE,Slaughterhouse Rulez,0,Free Agent,PICTURE,Slaughterhouse Rulez,,,
PICTURE,Slender Man,0,Free Agent,PICTURE,Slender Man,,,
PICTURE,Slice,0,Free Agent,PICTURE,Slice,,,
PICTURE,Solo: A Star Wars Story,0,Free Agent,PICTURE,Solo: A Star Wars Story,,,
PICTURE,Sorry to Bother You,0,Free Agent,PICTURE,Sorry to Bother You,,,
PICTURE,Spinning Man,0,Free Agent,PICTURE,Spinning Man,,,
PICTURE,Stan & Ollie,0,Free Agent,PICTURE,Stan & Ollie,,,
PICTURE,Status Update,0,Free Agent,PICTURE,Status Update,,,
PICTURE,Summer '03,0,Free Agent,PICTURE,Summer '03,,,
PICTURE,Summer Night,0,Free Agent,PICTURE,Summer Night,,,
PICTURE,Summer of 84,0,Free Agent,PICTURE,Summer of 84,,,
PICTURE,Super Troopers 2,0,Free Agent,PICTURE,Super Troopers 2,,,
PICTURE,SuperFly,0,Free Agent,PICTURE,SuperFly,,,
PICTURE,Support the Girls,0,Free Agent,PICTURE,Support the Girls,,,
PICTURE,Suspiria,0,Free Agent,PICTURE,Suspiria,,,
PICTURE,Swinging Safari,0,Free Agent,PICTURE,Swinging Safari,,,
PICTURE,Swiped,0,Free Agent,PICTURE,Swiped,,,
PICTURE,Tag,0,Free Agent,PICTURE,Tag,,,
PICTURE,Tau,0,Free Agent,PICTURE,Tau,,,
PICTURE,Teen Spirit,0,Free Agent,PICTURE,Teen Spirit,,,
PICTURE,Tell It to the Bees,0,Free Agent,PICTURE,Tell It to the Bees,,,
PICTURE,Terminal,0,Free Agent,PICTURE,Terminal,,,
PICTURE,The 15:17 to Paris,0,Free Agent,PICTURE,The 15:17 to Paris,,,
PICTURE,The After Party,0,Free Agent,PICTURE,The After Party,,,
PICTURE,The Angel,0,Free Agent,PICTURE,The Angel,,,
PICTURE,The Ballad of Buster Scruggs,0,Free Agent,PICTURE,The Ballad of Buster Scruggs,,,
PICTURE,The Basement,0,Free Agent,PICTURE,The Basement,,,
PICTURE,The Big Take,0,Free Agent,PICTURE,The Big Take,,,
PICTURE,The Catcher Was a Spy,0,Free Agent,PICTURE,The Catcher Was a Spy,,,
PICTURE,The Cloverfield Paradox,0,Free Agent,PICTURE,The Cloverfield Paradox,,,
PICTURE,The Commuter,0,Free Agent,PICTURE,The Commuter,,,
PICTURE,The Con Is On,0,Free Agent,PICTURE,The Con Is On,,,
PICTURE,The Dark,0,Free Agent,PICTURE,The Dark,,,
PICTURE,The Darkest Minds,0,Free Agent,PICTURE,The Darkest Minds,,,
PICTURE,The Dawnseeker,0,Free Agent,PICTURE,The Dawnseeker,,,
PICTURE,The Death and Life of John F. Donovan,0,Free Agent,PICTURE,The Death and Life of John F. Donovan,,,
PICTURE,The Death of Stalin,0,Free Agent,PICTURE,The Death of Stalin,,,
PICTURE,The Debt Collector,0,Free Agent,PICTURE,The Debt Collector,,,
PICTURE,The Domestics,0,Free Agent,PICTURE,The Domestics,,,
PICTURE,The Equalizer 2,0,Free Agent,PICTURE,The Equalizer 2,,,
PICTURE,The Festival,0,Free Agent,PICTURE,The Festival,,,
PICTURE,The First Purge,0,Free Agent,PICTURE,The First Purge,,,
PICTURE,The Front Runner,0,Free Agent,PICTURE,The Front Runner,,,
PICTURE,The Gateway,0,Free Agent,PICTURE,The Gateway,,,
PICTURE,The Girl in the Spider's Web,0,Free Agent,PICTURE,The Girl in the Spider's Web,,,
PICTURE,The Guernsey Literary and Potato Peel Pie Society,0,Free Agent,PICTURE,The Guernsey Literary and Potato Peel Pie Society,,,
PICTURE,The Happy Prince,0,Free Agent,PICTURE,The Happy Prince,,,
PICTURE,The Happytime Murders,0,Free Agent,PICTURE,The Happytime Murders,,,
PICTURE,The Hate U Give,0,Free Agent,PICTURE,The Hate U Give,,,
PICTURE,The House That Jack Built,0,Free Agent,PICTURE,The House That Jack Built,,,
PICTURE,The House with a Clock in Its Walls,0,Free Agent,PICTURE,The House with a Clock in Its Walls,,,
PICTURE,The Hummingbird Project,0,Free Agent,PICTURE,The Hummingbird Project,,,
PICTURE,The Hurricane Heist,0,Free Agent,PICTURE,The Hurricane Heist,,,
PICTURE,The Intent 2: The Come Up,0,Free Agent,PICTURE,The Intent 2: The Come Up,,,
PICTURE,The Jurassic Games,0,Free Agent,PICTURE,The Jurassic Games,,,
PICTURE,The Kindergarten Teacher,0,Free Agent,PICTURE,The Kindergarten Teacher,,,
PICTURE,The King's Daughter,0,Free Agent,PICTURE,The King's Daughter,,,
PICTURE,The Kissing Booth,0,Free Agent,PICTURE,The Kissing Booth,,,
PICTURE,The Krays: Dead Man Walking,0,Free Agent,PICTURE,The Krays: Dead Man Walking,,,
PICTURE,The Land of Steady Habits,0,Free Agent,PICTURE,The Land of Steady Habits,,,
PICTURE,The Last Full Measure,0,Free Agent,PICTURE,The Last Full Measure,,,
PICTURE,The Last Man,0,Free Agent,PICTURE,The Last Man,,,
PICTURE,The Little Mermaid,0,Free Agent,PICTURE,The Little Mermaid,,,
PICTURE,The Little Stranger,0,Free Agent,PICTURE,The Little Stranger,,,
PICTURE,The Long Home,0,Free Agent,PICTURE,The Long Home,,,
PICTURE,The Man Who Killed Don Quixote,0,Free Agent,PICTURE,The Man Who Killed Don Quixote,,,
PICTURE,The Man Who Killed Hitler and Then The Bigfoot,0,Free Agent,PICTURE,The Man Who Killed Hitler and Then The Bigfoot,,,
PICTURE,The Marine 6: Close Quarters,0,Free Agent,PICTURE,The Marine 6: Close Quarters,,,
PICTURE,The Matchmaker's Playbook,0,Free Agent,PICTURE,The Matchmaker's Playbook,,,
PICTURE,The Meg,0,Free Agent,PICTURE,The Meg,,,
PICTURE,The Mercy,0,Free Agent,PICTURE,The Mercy,,,
PICTURE,The Middle of X,0,Free Agent,PICTURE,The Middle of X,,,
PICTURE,The Miracle Season,0,Free Agent,PICTURE,The Miracle Season,,,
PICTURE,The Miseducation of Cameron Post,0,Free Agent,PICTURE,The Miseducation of Cameron Post,,,
PICTURE,The Most Assassinated Woman in the World,0,Free Agent,PICTURE,The Most Assassinated Woman in the World,,,
PICTURE,The Mule,0,Free Agent,PICTURE,The Mule,,,
PICTURE,The Neighbor,0,Free Agent,PICTURE,The Neighbor,,,
PICTURE,The New Romantic,0,Free Agent,PICTURE,The New Romantic,,,
PICTURE,The Nightingale,0,Free Agent,PICTURE,The Nightingale,,,
PICTURE,The Ninth Passenger,0,Free Agent,PICTURE,The Ninth Passenger,,,
PICTURE,The Nun,0,Free Agent,PICTURE,The Nun,,,
PICTURE,The Nutcracker and the Four Realms,0,Free Agent,PICTURE,The Nutcracker and the Four Realms,,,
PICTURE,The Oath,0,Free Agent,PICTURE,The Oath,,,
PICTURE,The Old Man & the Gun,0,Free Agent,PICTURE,The Old Man & the Gun,,,
PICTURE,The Open House,0,Free Agent,PICTURE,The Open House,,,
PICTURE,The Other Side of the Wind,0,Free Agent,PICTURE,The Other Side of the Wind,,,
PICTURE,The Outsider,0,Free Agent,PICTURE,The Outsider,,,
PICTURE,The Package,0,Free Agent,PICTURE,The Package,,,
PICTURE,The Padre,0,Free Agent,PICTURE,The Padre,,,
PICTURE,The Pagan King,0,Free Agent,PICTURE,The Pagan King,,,
PICTURE,The Peanut Butter Falcon,0,Free Agent,PICTURE,The Peanut Butter Falcon,,,
PICTURE,The Predator,0,Free Agent,PICTURE,The Predator,,,
PICTURE,The Public,0,Free Agent,PICTURE,The Public,,,
PICTURE,The Riot Act,0,Free Agent,PICTURE,The Riot Act,,,
PICTURE,The Row,0,Free Agent,PICTURE,The Row,,,
PICTURE,The Seagull,0,Free Agent,PICTURE,The Seagull,,,
PICTURE,The Sisters Brothers,0,Free Agent,PICTURE,The Sisters Brothers,,,
PICTURE,The Spy Who Dumped Me,0,Free Agent,PICTURE,The Spy Who Dumped Me,,,
PICTURE,The Stand-In,0,Free Agent,PICTURE,The Stand-In,,,
PICTURE,The Strangers: Prey at Night,0,Free Agent,PICTURE,The Strangers: Prey at Night,,,
PICTURE,The Tale,0,Free Agent,PICTURE,The Tale,,,
PICTURE,The Titan,0,Free Agent,PICTURE,The Titan,,,
PICTURE,The Toybox,0,Free Agent,PICTURE,The Toybox,,,
PICTURE,The Trump Prophecy,0,Free Agent,PICTURE,The Trump Prophecy,,,
PICTURE,The Week Of,0,Free Agent,PICTURE,The Week Of,,,
PICTURE,The Wind,0,Free Agent,PICTURE,The Wind,,,
PICTURE,The Wrong Friend,0,Free Agent,PICTURE,The Wrong Friend,,,
PICTURE,Thunder Road,0,Free Agent,PICTURE,Thunder Road,,,
PICTURE,To All the Boys I've Loved Before,0,Free Agent,PICTURE,To All the Boys I've Loved Before,,,
PICTURE,Tomb Raider,0,Free Agent,PICTURE,Tomb Raider,,,
PICTURE,Traffik,0,Free Agent,PICTURE,Traffik,,,
PICTURE,Truth or Dare,0,Free Agent,PICTURE,Truth or Dare,,,
PICTURE,Tully,0,Free Agent,PICTURE,Tully,,,
PICTURE,UFO,0,Free Agent,PICTURE,UFO,,,
PICTURE,Unbroken: Path to Redemption,0,Free Agent,PICTURE,Unbroken: Path to Redemption,,,
PICTURE,Uncle Drew,0,Free Agent,PICTURE,Uncle Drew,,,
PICTURE,Under the Silver Lake,0,Free Agent,PICTURE,Under the Silver Lake,,,
PICTURE,Unfriended: Dark Web,0,Free Agent,PICTURE,Unfriended: Dark Web,,,
PICTURE,Unsane,0,Free Agent,PICTURE,Unsane,,,
PICTURE,Untogether,0,Free Agent,PICTURE,Untogether,,,
PICTURE,Upgrade,0,Free Agent,PICTURE,Upgrade,,,
PICTURE,Venom,0,Free Agent,PICTURE,Venom,,,
PICTURE,Viper Club,0,Free Agent,PICTURE,Viper Club,,,
PICTURE,Vita and Virginia,0,Free Agent,PICTURE,Vita and Virginia,,,
PICTURE,Vox Lux,0,Free Agent,PICTURE,Vox Lux,,,
PICTURE,Warning Shot,0,Free Agent,PICTURE,Warning Shot,,,
PICTURE,We Have Always Lived in the Castle,0,Free Agent,PICTURE,We Have Always Lived in the Castle,,,
PICTURE,We the Animals,0,Free Agent,PICTURE,We the Animals,,,
PICTURE,Welcome to Marwen,0,Free Agent,PICTURE,Welcome to Marwen,,,
PICTURE,What Keeps You Alive,0,Free Agent,PICTURE,What Keeps You Alive,,,
PICTURE,What Still Remains,0,Free Agent,PICTURE,What Still Remains,,,
PICTURE,What They Had,0,Free Agent,PICTURE,What They Had,,,
PICTURE,When We First Met,0,Free Agent,PICTURE,When We First Met,,,
PICTURE,Where Hands Touch,0,Free Agent,PICTURE,Where Hands Touch,,,
PICTURE,White Boy Rick,0,Free Agent,PICTURE,White Boy Rick,,,
PICTURE,Wildlife,0,Free Agent,PICTURE,Wildlife,,,
PICTURE,Wildling,0,Free Agent,PICTURE,Wildling,,,
PICTURE,Winchester,0,Free Agent,PICTURE,Winchester,,,
PICTURE,Winter Ridge,0,Free Agent,PICTURE,Winter Ridge,,,
PICTURE,Woman Walks Ahead,0,Free Agent,PICTURE,Woman Walks Ahead,,,
PICTURE,Yardie,0,Free Agent,PICTURE,Yardie,,,
PICTURE,You Were Never Really Here,0,Free Agent,PICTURE,You Were Never Really Here,,,
PICTURE,Zeroville,0,Free Agent,PICTURE,Zeroville,,,
PICTURE,Zoe,0,Free Agent,PICTURE,Zoe,,,
William,Arnold,0,Free Agent,PRODUCTION DESIGN,Game Over Man!,The Hate U Give,,
Liv,Ask,0,Free Agent,PRODUCTION DESIGN,22-Jul,,,
Jahmin,Assa,0,Free Agent,PRODUCTION DESIGN,Mid90s,Don't Worry He Won't Get Far on Foot,,
Michel,Barthelemy,0,Free Agent,PRODUCTION DESIGN,The Sisters Brothers,,,
Hussein,Baydoun,0,Free Agent,PRODUCTION DESIGN,Capernaum,,,
Curt,Beech,0,Free Agent,PRODUCTION DESIGN,BlacKkKlansman,,,
Jeffrey,Beecroft,0,Free Agent,PRODUCTION DESIGN,A Quiet Place,,,
Roshelle,Berliner,0,Free Agent,PRODUCTION DESIGN,The Domestics,Puzzle,,
Eugenio,Caballero,0,Free Agent,PRODUCTION DESIGN,Roma,,,
Michael,Carlin,0,Free Agent,PRODUCTION DESIGN,Colette,,,
Stephen H.,Carter,0,Free Agent,PRODUCTION DESIGN,Can You Ever Forgive Me?,,,
Stefania,Cella,0,Free Agent,PRODUCTION DESIGN,White Boy Rick,,,
Nelson,Coates,0,Free Agent,PRODUCTION DESIGN,Crazy Rich Asians,Fifty Shades Freed,On the Basis of Sex,
Stuart,Craig,0,Free Agent,PRODUCTION DESIGN,Fantastic Beasts: The Crimes of Grindelwald,,,
Stephane,Cressend,0,Free Agent,PRODUCTION DESIGN,At Eternity's Gate,,,
Suzie,Davies,0,Free Agent,PRODUCTION DESIGN,On Chesil Beach,Peterloo,,
Stefan,Dechant,0,Free Agent,PRODUCTION DESIGN,Pacific Rim: Uprising,Welcome to Marwen,,
Mark,Digby,0,Free Agent,PRODUCTION DESIGN,Fahrenheit 451,Annihilation,,
Scott,Dougan,0,Free Agent,PRODUCTION DESIGN,American Animals,Monsters and Men,,
Guy Hendrix,Dyas,0,Free Agent,PRODUCTION DESIGN,The Nutcracker and the Four Realms,,,
Ralph,Eggleston,0,Free Agent,PRODUCTION DESIGN,Incredibles 2,,,
Sarah,Finlay,0,Free Agent,PRODUCTION DESIGN,Juliet Naked,Disobedience,,
Mark,Friedberg,0,Free Agent,PRODUCTION DESIGN,If Beale Street Could Talk,,,
Tim,Galvin,0,Free Agent,PRODUCTION DESIGN,Green Book,,,
Jess,Gonchor,0,Free Agent,PRODUCTION DESIGN,The Ballad of Buster Scruggs,,,
Paul,Harrod,0,Free Agent,PRODUCTION DESIGN,Isle of Dogs,,,
Aaron,Haye,0,Free Agent,PRODUCTION DESIGN,Bohemian Rhapsody,,,
Dan,Hennah,0,Free Agent,PRODUCTION DESIGN,Mortal Engines,,,
Kevin,Ishioka,0,Free Agent,PRODUCTION DESIGN,The 15:17 to Paris,The Mule,,
Chad,Keith,0,Free Agent,PRODUCTION DESIGN,Leave No Trace,Boy Erased,,
John Paul,Kelly,0,Free Agent,PRODUCTION DESIGN,Stan & Ollie,,,
Jason,Kisvarday,0,Free Agent,PRODUCTION DESIGN,Sorry to Bother You,An Evening with Beverly Luff Linn,,
Scott,Kuzio,0,Free Agent,PRODUCTION DESIGN,The Old Man & the Gun,Damsel,,
Kay,Lee,0,Free Agent,PRODUCTION DESIGN,Destroyer,,,
Mark,Leese,0,Free Agent,PRODUCTION DESIGN,The Wife,,,
Sam,Lisenco,0,Free Agent,PRODUCTION DESIGN,Vox Lux,Eighth Grade,,
Anastasia,Masaro,0,Free Agent,PRODUCTION DESIGN,Tully,,,
Akin,McKenzie,0,Free Agent,PRODUCTION DESIGN,Wildlife,,,
James,Merifield,0,Free Agent,PRODUCTION DESIGN,Mary Queen of Scots,The Guernsey Literary and Potato Peel Pie Society,,
Brian,Morris,0,Free Agent,PRODUCTION DESIGN,The Happy Prince,,,
Karen,Murphy,0,Free Agent,PRODUCTION DESIGN,A Star Is Born,,,
John,Myhre,0,Free Agent,PRODUCTION DESIGN,Mary Poppins Returns,,,
Maria Clara,Notari,0,Free Agent,PRODUCTION DESIGN,Everybody Knows,,,
Aaron,Osborne,0,Free Agent,PRODUCTION DESIGN,Love Simon,,,
Michael,Perry,0,Free Agent,PRODUCTION DESIGN,Hell Fest,Under the Silver Lake,,
Jan,Roelfs,0,Free Agent,PRODUCTION DESIGN,Bird Box,,,
Steve,Saklad,0,Free Agent,PRODUCTION DESIGN,The Front Runner,,,
Christopher,Stull,0,Free Agent,PRODUCTION DESIGN,What They Had,Alex & Me,,
Ethan,Tobman,0,Free Agent,PRODUCTION DESIGN,Beautiful Boy,Kin,,
Patrice,Vermette,0,Free Agent,PRODUCTION DESIGN,Gringo,Vice,,
Inbal,Weinberg,0,Free Agent,PRODUCTION DESIGN,Suspiria,,,
Charles,Wood,0,Free Agent,PRODUCTION DESIGN,Avengers: Infinity War,,,
Grace,Yun,0,Free Agent,PRODUCTION DESIGN,First Reformed,Hereditary,,
Thomas,Ades,0,Free Agent,SCORE,Colette,,,
Geoff,Barrow,0,Free Agent,SCORE,Annihilation,,,
Tyler,Bates,0,Free Agent,SCORE,The Public,Deadpool 2,The Spy Who Dumped Me,
Marco,Beltrami,0,Free Agent,SCORE,A Quiet Place,,,
Danny,Bensi,0,Free Agent,SCORE,Siberia,Boy Erased,,
Terence,Blanchard,0,Free Agent,SCORE,BlacKkKlansman,,,
Kris,Bowers,0,Free Agent,SCORE,Green Book,Monsters and Men,,
Carter,Burwell,0,Free Agent,SCORE,The Ballad of Buster Scruggs,,,
The,Coup,0,Free Agent,SCORE,Sorry to Bother You,,,
Mychael,Danna,0,Free Agent,SCORE,On the Basis of Sex,,,
Alexandre,Desplat,0,Free Agent,SCORE,Kursk,The Sisters Brothers,Isle of Dogs,Operation Finale
Ramin,Djawadi,0,Free Agent,SCORE,A Wrinkle in Time,Slender Man,,
Merrill,Garbus,0,Free Agent,SCORE,Sorry to Bother You,,,
Michael,Giacchino,0,Free Agent,SCORE,Incredibles 2,Jurassic World: Fallen Kingdom,Bad Times at the El Royale,
Ludwig,Goransson,0,Free Agent,SCORE,Death Wish,Venom,Black Panther,Slice
Hildur,Guonadottir,0,Free Agent,SCORE,Sicario: Day of the Soldado,Mary Magdalene,,
Daniel,Hart,0,Free Agent,SCORE,The Old Man & the Gun,,,
Nate,Heller,0,Free Agent,SCORE,Can You Ever Forgive Me?,,,
Joanne,Higginbottom,0,Free Agent,SCORE,The Public,,,
Dickon,Hinchliffe,0,Free Agent,SCORE,Leave No Trace,Burden,Above Suspicion,Yardie
James Newton,Howard,0,Free Agent,SCORE,Red Sparrow,Fantastic Beasts: The Crimes of Grindelwald,The Nutcracker and the Four Realms,
Dan,Jones,0,Free Agent,SCORE,On Chesil Beach,,,
Saunder,Jurriaans,0,Free Agent,SCORE,Siberia,Boy Erased,,
Federico,Jusid,0,Free Agent,SCORE,Life Itself,A Twelve-Year Night,,
Rolfe,Kent,0,Free Agent,SCORE,Stan & Ollie,,,
David,Lang,0,Free Agent,SCORE,Wildlife,,,
Michel,Legrand,0,Free Agent,SCORE,The Other Side of the Wind,,,
Javier,Limon,0,Free Agent,SCORE,Everybody Knows,,,
Tatiana,Lisovkaia,0,Free Agent,SCORE,At Eternity's Gate,,,
Sune,Martin,0,Free Agent,SCORE,The Outsider,22-Jul,,
John,Powell,0,Free Agent,SCORE,Solo: A Star Wars Story,,,
Trent,Reznor,0,Free Agent,SCORE,Mid90s,,,
Max,Richter,0,Free Agent,SCORE,Mary Queen of Scots,White Boy Rick,Never Look Away,
Ben,Salisbury,0,Free Agent,SCORE,Annihilation,,,
Marc,Shaiman,0,Free Agent,SCORE,Mary Poppins Returns,,,
Theodore,Shapiro,0,Free Agent,SCORE,A Simple Favor,Destroyer,,
Alan,Silvestri,0,Free Agent,SCORE,Ready Player One,Welcome to Marwen,Avengers: Infinity War,
Rob,Simonsen,0,Free Agent,SCORE,Love Simon,Tully,The Front Runner,
Colin,Stetson,0,Free Agent,SCORE,Hereditary,,,
Tune-Yards,Tune-Yards,0,Free Agent,SCORE,Sorry to Bother You,,,
Rich,Vreeland,0,Free Agent,SCORE,Under the Silver Lake,,,
Benjamin,Wallfisch,0,Free Agent,SCORE,The Darkest Minds,King of Thieves,Serenity,
Julian,Wass,0,Free Agent,SCORE,The Miseducation of Cameron Post,,,
Scott,Wittman,0,Free Agent,SCORE,Mary Poppins Returns,,,
Gabriel,Yared,0,Free Agent,SCORE,The Happy Prince,The Death and Life of John F. Donovan,Dilili in Paris,
Gary,Yershon,0,Free Agent,SCORE,Peterloo,,,
Thom,Yorke,0,Free Agent,SCORE,Suspiria,,,
Hans,Zimmer,0,Free Agent,SCORE,Widows,,,
Khaled,Mouzanar,0,Free Agent,SCORE SCREENPLAY,Capernaum,,,
Jane,Anderson,0,Free Agent,SCREENPLAY,The Wife,,,
Isaac,Aptaker,0,Free Agent,SCREENPLAY,Love Simon,,,
Matt,Bai,0,Free Agent,SCREENPLAY,The Front Runner,,,
Marc,Basch,0,Free Agent,SCREENPLAY,Hearts Beat Loud,,,
Scott,Beck,0,Free Agent,SCREENPLAY,A Quiet Place,,,
Elizabeth,Berger,0,Free Agent,SCREENPLAY,Love Simon,,,
Piotr,Borkowski,0,Free Agent,SCREENPLAY,Cold War,,,
Jean-Claude,Carriere,0,Free Agent,SCREENPLAY,At Eternity's Gate,,,
Jay,Carson,0,Free Agent,SCREENPLAY,The Front Runner,,,
Peter,Chiarelli,0,Free Agent,SCREENPLAY,Crazy Rich Asians,,,
Diablo,Cody,0,Free Agent,SCREENPLAY,Tully,,,
Luke,Davies,0,Free Agent,SCREENPLAY,Beautiful Boy,,,
Peter,Fellows,0,Free Agent,SCREENPLAY,The Death of Stalin,,,
Will,Fetters,0,Free Agent,SCREENPLAY,A Star Is Born,,,
Richard,Glatzer,0,Free Agent,SCREENPLAY,Colette,,,
Janusz,Glowacki,0,Free Agent,SCREENPLAY,Cold War,,,
Phil,Hay,0,Free Agent,SCREENPLAY,Destroyer,,,
Eric,Heisserer,0,Free Agent,SCREENPLAY,Bird Box,,,
Jihad,Hojeily,0,Free Agent,SCREENPLAY,Capernaum,,,
David,Kajganich,0,Free Agent,SCREENPLAY,Suspiria,,,
Michelle,Keserwany,0,Free Agent,SCREENPLAY,Capernaum,,,
Rebecca,Lenkiewicz,0,Free Agent,SCREENPLAY,Colette,Disobedience,,
Adele,Lim,0,Free Agent,SCREENPLAY,Crazy Rich Asians,,,
Matt,Manfredi,0,Free Agent,SCREENPLAY,Destroyer,,,
Polly,Mann,0,Free Agent,SCREENPLAY,Puzzle,,,
Ian,Martin,0,Free Agent,SCREENPLAY,The Death of Stalin,,,
Noah,Miller,0,Free Agent,SCREENPLAY,White Boy Rick,,,
Logan,Miller,0,Free Agent,SCREENPLAY,White Boy Rick,,,
Oren,Moverman,0,Free Agent,SCREENPLAY,Puzzle,,,
Fabien,Nury,0,Free Agent,SCREENPLAY,The Death of Stalin,,,
Jeff,Pope,0,Free Agent,SCREENPLAY,Stan & Ollie,,,
Rhett,Reese,0,Free Agent,SCREENPLAY,Deadpool 2,,,
Anne,Rosellini,0,Free Agent,SCREENPLAY,Leave No Trace,,,
Nick,Schenk,0,Free Agent,SCREENPLAY,The Mule,,,
David,Schneider,0,Free Agent,SCREENPLAY,The Death of Stalin,,,
Asne,Seierstad,0,Free Agent,SCREENPLAY,22-Jul,,,
Daniel,Stiepleman,0,Free Agent,SCREENPLAY,On the Basis of Sex,,,
Caroline,Thompson,0,Free Agent,SCREENPLAY,Welcome to Marwen,,,
P.L.,Travers,0,Free Agent,SCREENPLAY,Mary Poppins Returns,,,
Andy,Weiss,0,Free Agent,SCREENPLAY,Bigger,White Boy Rick,,
Audrey,Wells,0,Free Agent,SCREENPLAY,The Hate U Give,,,
Paul,Wernick,0,Free Agent,SCREENPLAY,Deadpool 2,,,
Beau,Willimon,0,Free Agent,SCREENPLAY,Mary Queen of Scots,,,
Bryan,Woods,0,Free Agent,SCREENPLAY,A Quiet Place,,,
SONG,A Wrinkle in Time,0,Free Agent,SONG,A Wrinkle in Time,,,
SONG,Believer,0,Free Agent,SONG,Believer,,,
SONG,Black Panther,0,Free Agent,SONG,Black Panther,,,
SONG,Bohemian Rhapsody,0,Free Agent,SONG,Bohemian Rhapsody,,,
SONG,Boy Erased,0,Free Agent,SONG,Boy Erased,,,
SONG,Deadpool 2,0,Free Agent,SONG,Deadpool 2,,,
SONG,Dumplin',0,Free Agent,SONG,Dumplin',,,
SONG,Fifty Shades Freed,0,Free Agent,SONG,Fifty Shades Freed,,,
SONG,Green Book,0,Free Agent,SONG,Green Book,,,
SONG,Hearts Beat Loud,0,Free Agent,SONG,Hearts Beat Loud,,,
SONG,Leave No Trace,0,Free Agent,SONG,Leave No Trace,,,
SONG,Love Simon,0,Free Agent,SONG,Love Simon,,,
SONG,On the Basis of Sex,0,Free Agent,SONG,On the Basis of Sex,,,
SONG,Quincy,0,Free Agent,SONG,Quincy,,,
SONG,RBG,0,Free Agent,SONG,RBG,,,
SONG,Shirkers,0,Free Agent,SONG,Shirkers,,,
SONG,Smallfoot,0,Free Agent,SONG,Smallfoot,,,
SONG,The Grinch,0,Free Agent,SONG,The Grinch,,,
SONG,The Hate U Give,0,Free Agent,SONG,The Hate U Give,,,
SONG,The Nutcracker and the Four Realms,0,Free Agent,SONG,The Nutcracker and the Four Realms,,,
SONG,What They Had,0,Free Agent,SONG,What They Had,,,
SOUND,12 Strong,0,Free Agent,SOUND,12 Strong,,,
SOUND,A Wrinkle in Time,0,Free Agent,SOUND,A Wrinkle in Time,,,
SOUND,Alita: Battle Angel,0,Free Agent,SOUND,Alita: Battle Angel,,,
SOUND,Alpha,0,Free Agent,SOUND,Alpha,,,
SOUND,Annihilation,0,Free Agent,SOUND,Annihilation,,,
SOUND,Ant-Man and the Wasp,0,Free Agent,SOUND,Ant-Man and the Wasp,,,
SOUND,Aquaman,0,Free Agent,SOUND,Aquaman,,,
SOUND,Avengers: Infinity War,0,Free Agent,SOUND,Avengers: Infinity War,,,
SOUND,Black Panther,0,Free Agent,SOUND,Black Panther,,,
SOUND,BlacKkKlansman,0,Free Agent,SOUND,BlacKkKlansman,,,
SOUND,Bohemian Rhapsody,0,Free Agent,SOUND,Bohemian Rhapsody,,,
SOUND,Bumblebee,0,Free Agent,SOUND,Bumblebee,,,
SOUND,Colette,0,Free Agent,SOUND,Colette,,,
SOUND,Deadpool 2,0,Free Agent,SOUND,Deadpool 2,,,
SOUND,High Life,0,Free Agent,SOUND,High Life,,,
SOUND,Hold the Dark,0,Free Agent,SOUND,Hold the Dark,,,
SOUND,Hunter Killer,0,Free Agent,SOUND,Hunter Killer,,,
SOUND,Incredibles 2,0,Free Agent,SOUND,Incredibles 2,,,
SOUND,Jurassic World: Fallen Kingdom,0,Free Agent,SOUND,Jurassic World: Fallen Kingdom,,,
SOUND,Leave No Trace,0,Free Agent,SOUND,Leave No Trace,,,
SOUND,Mary Poppins Returns,0,Free Agent,SOUND,Mary Poppins Returns,,,
SOUND,Mile 22,0,Free Agent,SOUND,Mile 22,,,
SOUND,Mission: Impossible - Fallout,0,Free Agent,SOUND,Mission: Impossible - Fallout,,,
SOUND,Mortal Engines,0,Free Agent,SOUND,Mortal Engines,,,
SOUND,Outlaw King,0,Free Agent,SOUND,Outlaw King,,,
SOUND,Overlord,0,Free Agent,SOUND,Overlord,,,
SOUND,Pacific Rim: Uprising,0,Free Agent,SOUND,Pacific Rim: Uprising,,,
SOUND,Peterloo,0,Free Agent,SOUND,Peterloo,,,
SOUND,Ready Player One,0,Free Agent,SOUND,Ready Player One,,,
SOUND,Roma,0,Free Agent,SOUND,Roma,,,
SOUND,Sicario: Day of the Soldado,0,Free Agent,SOUND,Sicario: Day of the Soldado,,,
SOUND,Solo: A Star Wars Story,0,Free Agent,SOUND,Solo: A Star Wars Story,,,
SOUND,Suspiria,0,Free Agent,SOUND,Suspiria,,,
SOUND,The Favourite,0,Free Agent,SOUND,The Favourite,,,
